player,player_id,TEAM,OFFENSIVE ARCHETYPE,MINUTES,POSITION,AGE,TIER,LEBRON,O-LEBRON,D-LEBRON,WINS ADDED,BOXLEBRON,BOXOLEBRON,BOXDLEBRON,LA-RAPM,LA-O-RAPM,LA-D-RAPM
Louis King,kinglo02,SAC,Secondary Ball Handler,104,SF,23,,-0.78,-0.38,-0.4,0.1,-0.51,-0.33,-0.18,-0.34,-0.06,-0.28
Matt Ryan,ryanma01,BOS,Athletic Finisher,5,SF,24,,-0.79,-0.08,-0.71,0,-0.82,-0.13,-0.69,0,0,0
Jaylen Morris,morrija01,SAS,Secondary Ball Handler,16,SG,26,,-0.8,-0.48,-0.32,0,-0.87,-0.5,-0.37,0,0,0
David Johnson,johnsda08,TOR,Off Screen Shooter,2,SG,21,,-0.8,-0.44,-0.36,0,-0.8,-0.44,-0.36,0.01,0.01,-0.02
Kemba Walker,walkeke02,NYK,Secondary Ball Handler,948,PG,31,,-0.81,-0.52,-0.29,1,0.11,0.46,-0.35,-1.36,-1.25,-0.11
Kelly Oubre Jr.,oubreke01,CHO,Stationary Shooter,"1,999",SF,26,,-0.81,0.59,-1.39,2,-0.43,0.84,-1.27,-0.78,0.4,-1.18
Tyrese Maxey,maxeyty01,PHI,Primary Ball Handler,"2,650",PG,21,,-0.81,0.45,-1.25,2.7,0.24,0.66,-0.41,-1.24,0.45,-1.69
Will Barton,bartowi01,DEN,Secondary Ball Handler,"2,277",SG,31,,-0.82,-0.5,-0.33,2.3,0.44,0.54,-0.1,0.06,-0.29,0.35
T.J. McConnell,mccontj01,IND,Slasher,652,PG,30,,-0.82,-0.44,-0.38,0.7,-0.34,-0.26,-0.08,-1.43,0.01,-1.42
Precious Achiuwa,achiupr01,TOR,Roll + Cut Big,"1,725",C,22,,-0.82,-1.47,0.65,1.7,-1.4,-1.52,0.12,0.69,0.01,0.69
Marcus Garrett,garrema01,MIA,Roll + Cut Big,128,SG,23,,-0.82,-0.92,0.1,0.1,-1.07,-1.17,0.1,0.09,0.03,0.06
Sam Dekker,dekkesa01,TOR,Low Minute,1,PF,27,,-0.83,-0.45,-0.37,0,-0.79,-0.43,-0.36,-0.1,-0.06,-0.04
Joe Johnson,johnsjo02,BOS,Slasher,2,SG,40,,-0.85,-0.16,-0.69,0,-0.82,-0.14,-0.68,0,0,0
C.J. Miles,milescj01,BOS,Low Minute,2,SG,35,,-0.85,-0.16,-0.69,0,-0.82,-0.14,-0.68,0,0,0
Enes Freedom,kanteen01,BOS,Post Scorer,411,C,29,,-0.85,-1.23,0.38,0.4,-1.36,-1.45,0.09,1.13,0.35,0.78
Anthony Lamb,lamban01,SAS,Low Minute,8,SF,24,,-0.86,-0.5,-0.36,0,-0.82,-0.45,-0.37,0,0,0
Goran Dragic,dragigo01,TOR/BRK,Secondary Ball Handler,497,PG,35,,-0.87,-0.65,-0.21,0.5,-1.6,-1.03,-0.57,-0.25,-0.46,0.21
Brandon Goodwin,goodwbr01,CLE,Secondary Ball Handler,502,PG,26,,-0.87,-0.43,-0.45,0.5,-0.89,-0.72,-0.18,0,0,0
RJ Barrett,barrerj01,NYK,Secondary Ball Handler,"2,417",SF,21,,-0.87,0.26,-1.13,2.4,-0.51,0.05,-0.57,-1.53,-0.47,-1.06
Isaiah Roby,robyis01,OKC,Stretch Big,948,PF,24,,-0.87,-0.92,0.06,0.9,-0.09,-0.74,0.65,-0.44,-0.24,-0.2
David Duke Jr.,dukeda01,BRK,Athletic Finisher,341,PG,22,,-0.87,-0.54,-0.33,0.3,-1.51,-1.14,-0.37,0.25,0.57,-0.32
George King,kingge03,DAL,Secondary Ball Handler,19,SF,28,,-0.89,-0.36,-0.53,0,-0.59,-0.28,-0.31,0,0,0
Xavier Moon,moonxa01,LAC,Secondary Ball Handler,137,SG,27,,-0.89,-0.27,-0.62,0.1,-0.64,-0.4,-0.24,0,0,0
Cade Cunningham,cunnica01,DET,Primary Ball Handler,"2,088",PG,20,,-0.89,-0.66,-0.23,2,-1.94,-1.34,-0.6,-1.03,-1.68,0.64
Miye Oni,onimi01,UTA,Low Minute,44,SG,24,,-0.9,-0.25,-0.66,0,-0.64,-0.14,-0.5,-0.67,-0.27,-0.4
Romeo Langford,langfro01,BOS/SAS,Athletic Finisher,771,SG,22,,-0.91,-1.5,0.59,0.7,-1.93,-1.81,-0.12,0.01,0.62,-0.62
Jay Scrubb,scrubja01,LAC,Secondary Ball Handler,121,SG,21,,-0.91,-0.68,-0.24,0.1,-1.02,-0.71,-0.32,0.27,0.31,-0.04
Brodric Thomas,thomabr01,BOS,Athletic Finisher,60,SG,25,,-0.92,-0.2,-0.72,0.1,-0.99,-0.32,-0.66,-0.07,-0.09,0.02
Jeff Dowtin,dowtije01,GSW/MIL/ORL,Secondary Ball Handler,108,PG,24,,-0.92,-0.65,-0.27,0.1,-0.47,-0.43,-0.04,0.14,-0.04,0.18
Micah Potter,pottemi01,DET,Roll + Cut Big,31,C,24,,-0.92,-0.82,-0.1,0,-0.56,-0.51,-0.05,0,0,0
Isaiah Thomas,thomais02,LAL/DAL/CHO,Secondary Ball Handler,333,PG,33,,-0.93,-0.14,-0.79,0.3,-0.91,0.02,-0.93,0,0,0
Norvel Pelle,pelleno01,UTA,Roll + Cut Big,19,C,29,,-0.93,-0.27,-0.66,0,-0.54,-0.04,-0.51,0,0,0
D.J. Wilson,wilsodj01,TOR,Roll + Cut Big,54,PF,26,,-0.93,-0.73,-0.2,0.1,-0.82,-0.67,-0.15,0,0,0
Victor Oladipo,oladivi01,MIA,Secondary Ball Handler,173,SG,29,,-0.94,-0.42,-0.52,0.2,-0.5,-0.07,-0.43,0,0,0
De'Aaron Fox,foxde01,SAC,Slasher,"2,084",PG,24,,-0.96,1.15,-2.11,1.9,-0.62,0.57,-1.19,-2.33,0.48,-2.81
McKinley Wright IV,wrighmc01,MIN,Movement Shooter,19,PG,23,,-0.96,-0.3,-0.66,0,-0.88,-0.33,-0.55,-0.15,-0.05,-0.1
Chaundee Brown Jr.,brownch05,LAL/ATL,Secondary Ball Handler,104,SG-SF,23,,-0.96,-0.69,-0.27,0.1,-0.57,-0.43,-0.14,0,0,0
Gordon Hayward,haywago01,CHO,Movement Shooter,"1,564",SF,32,,-0.97,-1,0.03,1.4,-0.38,0.21,-0.6,-1.33,-0.85,-0.49
Joe Ingles,inglejo01,UTA,Stationary Shooter,"1,122",SF,34,,-0.97,-0.34,-0.63,1,-0.61,-0.09,-0.52,0.5,0.87,-0.37
Sharife Cooper,coopesh01,ATL,Movement Shooter,39,PG,20,,-0.98,-0.67,-0.31,0,-0.61,-0.39,-0.22,-0.16,-0.23,0.07
Scottie Lewis,lewissc01,CHO,Low Minute,7,SG,22,,-0.98,-0.42,-0.56,0,-1,-0.46,-0.54,0,0,0
Garrison Mathews,mathega01,HOU,Movement Shooter,"1,712",SG,25,,-0.99,0.27,-1.25,1.5,-1.55,-0.68,-0.86,-0.1,1.23,-1.34
Daniel Oturu,oturuda01,TOR,Roll + Cut Big,27,C,22,,-1.01,-0.69,-0.32,0,-0.92,-0.62,-0.3,0,0,0
Jaden Springer,sprinja01,PHI,Roll + Cut Big,6,SG,19,,-1.01,-0.38,-0.63,0,-1,-0.38,-0.62,0.01,0.01,0.02
Landry Shamet,shamela01,PHO,Movement Shooter,"1,437",SG,25,,-1.02,-0.85,-0.17,1.3,-1.31,-0.32,-0.99,0.96,-0.81,1.77
Nassir Little,littlna01,POR,Stationary Shooter,"1,088",SF,22,,-1.02,-1.15,0.12,1,-1.28,-1.13,-0.14,-0.23,0.69,-0.92
Kentavious Caldwell-Pope,caldwke01,WAS,Movement Shooter,"2,329",SG,29,,-1.03,-0.86,-0.16,2,-0.95,-0.49,-0.47,0.15,0.01,0.16
Gabriel Lundberg,lundbga01,PHO,Secondary Ball Handler,44,SG,27,,-1.03,-0.31,-0.72,0,-1.2,-0.43,-0.78,0,0,0
Davon Reed,reedda01,DEN,Movement Shooter,668,SG,26,,-1.04,-1.21,0.16,0.6,-0.94,-1.26,0.32,-0.14,-0.55,0.41
DeAndre Jordan,jordade01,LAL/PHI,Roll + Cut Big,622,C,33,,-1.05,-2.05,1,0.5,-0.07,-1.44,1.37,-1.34,-1.44,0.1
Evan Fournier,fournev01,NYK,Movement Shooter,"2,358",SG,29,,-1.05,-0.01,-1.04,2,-0.45,-0.07,-0.38,-1.06,-0.46,-0.61
Chris Duarte,duartch01,IND,Secondary Ball Handler,"1,541",SG,24,,-1.05,-0.55,-0.5,1.3,-1.71,-0.53,-1.17,2.19,1.23,0.96
Paul Millsap,millspa01,BRK/PHI,Stretch Big,376,PF,37,,-1.06,-0.89,-0.17,0.3,-0.64,-0.71,0.07,-0.42,-0.56,0.15
